Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
26/01/2021,Thomas,Carper,US Senator,PBA,Pembina Pipeli,8000,Sell,"By Spouse. Traded $1,001 To $15,000 "
27/01/2021,Patrick,Toomey,US Senator,GME,Gamestop Corp,8000,Buy,"By Minor Child. Traded $1,001 To $15,000 "
27/01/2021,Ronald,Wyden,US Senator,KLAC,K L A-Tencor C,24002,Buy,"By Dependent Children. Traded $3,003 To $45,000 ."
27/01/2021,Ronald,Wyden,US Senator,DIS,Walt Disney Co,24002,Buy,"By Dependent Children. Traded $3,003 To $45,000 ."
27/01/2021,Ronald,Wyden,US Senator,AAPL,Apple Inc,24002,Buy,"By Dependent Children. Traded $3,003 To $45,000 ."
27/01/2021,Gerald,Moran,US Senator,COST,Costco Wholesa,16001,Sell,"By Spouse And Politician. Traded $2,001 To $30,000 "
27/01/2021,Patrick,Toomey,US Senator,TSLA,Tesla Inc,8000,Sell,"By Minor Child. Traded $1,001 To $15,000 "
27/01/2021,Patrick,Toomey,US Senator,SHOP,Shopify Inc,8000,Sell,"By Minor Child. Traded $1,001 To $15,000 "
27/01/2021,Thomas,Carper,US Senator,DD,Dupont Denemou,32500,Sell,"By Spouse. Traded $15,001 To $50,000 "
28/01/2021,Patrick,Toomey,US Senator,GME,Gamestop Corp,8000,Sell,"By Minor Child. Traded $1,001 To $15,000 "
02/02/2021,Thomas,Tuberville,US Senator,CSX,CSX Corp,8000,Sell,"Sale Of Put Options With Strike Price $80.00 And 08/20/2021. Traded $1,001 To $15.000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
02/02/2021,Thomas,Tuberville,US Senator,SSYS,Stratasys Ltd,16000,Sell,"Sale Of Put Options With Strike Price $45.00 And Expiry 09/17/2021. Traded $2.001 To $30,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
