Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
09/04/2021,Sara,Jacobs,US Congressman,LW,Lamb Weston Ho,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,JLL,Jones Lang Las,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,IPG,Interpublic Gr,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,IFF,International ,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,HXL,Hexcel Corp,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,GILD,Gilead Science,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,FSLR,First Solar In,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,WOLF,Wolfspeed Inc,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,BLKB,Blackbaud Inc,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,BDX,Becton Dickins,32500,Sell,"Traded $15,001 to $50,000 "
09/04/2021,Sara,Jacobs,US Congressman,ANTM,Anthem Inc,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,AFL,Aflac Inc,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Sara,Jacobs,US Congressman,ACN,Accenture Plc,75000,Sell,"Traded $50,001 to $100,000 "
09/04/2021,Austin,Scott,US Congressman,PLUG,Plug Power Inc,8000,Sell,"Traded $1,001 to $15,000 "
09/04/2021,Michael,Mccaul,US Congressman,ADP,Automatic Data,150001,Sell,"By Spouse & Dependent Child. Traded $100,002 To $200,000 ."
09/04/2021,Trey,Hollingsworth,US Congressman,MMP,Magellan Midst,75000,Buy,"Traded $50,001 to $100,000 ."
09/04/2021,Virginia,Foxx,US Congressman,AM,Antero Midstre,32500,Buy,"Traded $15,001 to $50,000 "
09/04/2021,Earl,Blumenauer,US Congressman,HHH,Howard Hughes ,8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
08/04/2021,Cynthia,Axne,US Congressman,LBRDA,Liberty Broadb,8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
08/04/2021,Thomas,Suozzi,US Congressman,SPOT,Spotify Techno,8000,Buy,"Traded $1,001 to $15,000 "
08/04/2021,Rohit,Khanna,US Congressman,JPM,JP Morgan Chas,8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
08/04/2021,Thomas,Tuberville,US Senator,CALX,Calix Inc,8000,Sell,"Sale Of Put Options With Strike Price $40.00 And Expiry 01/21/2022 .Traded $1,001 To $15,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
08/04/2021,Patrick,Fallon,US Congressman,VZ,Verizon Commun,32500,Sell,"Traded $15,001 to $50,000 "
08/04/2021,Joshua,Gottheimer,US Congressman,CENT,Central Garden,8000,Sell,"Traded $1,001 to $15,000 "
08/04/2021,Michael,Mccaul,US Congressman,MS,Morgan Stanley,375000,Sell,"By Spouse. Traded $250,001 To $500,000 ."
08/04/2021,Michael,Mccaul,US Congressman,R,Ryder System,40501,Sell,"By Spouse & Dependent Child. Traded $16,002 to $65,000 ."
08/04/2021,Michael,Mccaul,US Congressman,PRI,Primerica Inc,16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
08/04/2021,Michael,Mccaul,US Congressman,R,Ryder System,8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
08/04/2021,James,Hill,US Congressman,TSLA,Tesla Inc,8000,Buy,"By Dependent Child. Traded $1,001 To $15,000 "
08/04/2021,Lois,Frankel,US Congressman,PPG,PPG Industries,8000,Sell,"Traded $1,001 to $15,000 "
08/04/2021,Virginia,Foxx,US Congressman,OLP,One Liberty Pr,8000,Buy,"Traded $1,001 to $15,000 "
07/04/2021,Thomas,Suozzi,US Congressman,TSLA,Tesla Inc,75000,Sell,"Traded $50,001 to $100,000 "
07/04/2021,Thomas,Suozzi,US Congressman,AI,C3.Ai Inc Cl A,32500,Buy,"Traded $15,001 to $50,000 "
07/04/2021,Rohit,Khanna,US Congressman,WFC,Wells Fargo & ,16001,Buy,"By Spouse. Traded $2,002 To $30,000 ."
07/04/2021,Thomas,Tuberville,US Senator,OXY,Occidental Pet,75000,Buy,"Traded $50,001 to $100,000 "
07/04/2021,Thomas,Tuberville,US Senator,CALX,Calix Inc,8000,Sell,"Sale Of Put Options With Strike Price $40.00 And Expiry 10/15/2021 .Traded $1,001 To $15,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
07/04/2021,Patrick,Fallon,US Congressman,VZ,Verizon Commun,175000,Sell,"Traded $100,001 to $250,000 "
